17102,-78.514304,38.014266,-1,51,540,000502,4,72,5,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17103,-78.5143485963658,38.0158742705171,-1,51,540,000502,4,117,4,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17104,-78.5095536077294,38.0165937228573,-1,51,540,000502,4,252,5,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17105,-78.5176105,38.0207285,-1,51,540,000502,3,134,5,77877,77877,77877,77877,77877,77877,77883,77672,77878,77878,77678,77678,77678,77678
17106,-78.5114459011724,38.021194313785,-1,51,540,000502,2,132,5,77877,77877,77877,77877,77877,77877,77883,77672,77878,77878,77678,77678,77678,77678
17107,-78.4998845,38.0236005,-1,51,540,000501,3,155,5,77877,77877,77877,77877,77877,77877,77883,77672,77878,77878,77678,77678,77678,77678
17108,-78.5037052865214,38.0267145631961,-1,51,540,000501,2,151,5,77877,77877,77877,77877,77877,77877,77883,77672,77878,77878,77678,77678,77678,77678
17109,-78.498404,38.029365,-1,51,540,000501,2,108,5,77885,77885,77885,77885,77885,77885,77883,77672,77878,77878,77678,77678,77678,77678
17110,-78.5075475,38.0299145,-1,51,540,000600,1,119,5,77877,77877,77877,77877,77877,77877,77883,77672,77878,77878,77678,77678,77678,77678
17111,-78.4957981644164,38.0222949965875,-1,51,540,000501,1,131,5,77877,77877,77877,77877,77877,77877,77883,77672,77878,77878,77678,77678,77678,77678
17112,-78.4873515,38.0228575,-1,51,540,000401,1,150,5,77884,77884,77884,77884,77884,77884,77883,77672,77878,77878,77678,77678,77678,77678
17113,-78.4867615,38.0269025,-1,51,540,000401,1,153,4,77884,77884,77884,77884,77884,77884,77883,77672,77878,77878,77678,77678,77678,77678
17114,-78.4874011796808,38.0270385144049,-1,51,540,000401,1,172,4,77884,77884,77884,77884,77884,77884,77883,77672,77878,77878,77678,77678,77678,77678
17115,-78.4949315,38.027887,-1,51,540,000501,1,140,5,77885,77885,77885,77885,77885,77885,77883,77672,77878,77878,77678,77678,77678,77678
17116,-78.4879958179854,38.0279819834171,-1,51,540,000401,1,74,5,77884,77884,77884,77884,77884,77884,77883,77672,77878,77878,77678,77678,77678,77678
17117,-78.4900245,38.0283825,-1,51,540,000501,1,114,5,77885,77885,77885,77885,77885,77885,77883,77672,77878,77878,77678,77678,77678,77678
17118,-78.5050493420122,38.0154810150604,-1,51,540,000502,5,89,4,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17119,-78.4973345,38.0203205,-1,51,540,000501,3,131,5,77877,77877,77877,77877,77877,77877,77883,77672,77878,77878,77678,77678,77678,77678
17120,-78.4927295,38.017023,-1,51,540,000401,2,76,5,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17121,-78.4919795,38.018281,-1,51,540,000401,2,101,5,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17122,-78.4942405451641,38.0187792566355,-1,51,540,000401,2,122,5,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17124,-78.5120275,38.0118045,-1,51,540,000502,5,161,5,77882,77882,77882,77882,77882,77882,77883,77672,77878,77878,77678,77678,77678,77678
17132,-78.475764569176,38.0587763972695,-1,51,540,000800,2,84,5,77881,77881,77881,77881,77881,77881,77883,77883,77688,77688,77880,77880,77880,77880
17133,-78.4800121054145,38.0618308544961,-1,51,540,000800,3,224,5,77881,77881,77881,77881,77881,77881,77883,77883,77688,77688,77880,77880,77880,77880
17134,-78.4676858373199,38.0627944189397,-1,51,540,000800,1,174,5,77881,77881,77881,77881,77881,77881,77883,77883,77688,77688,77880,77880,77880,77880
